Subject;Catalog;Descr;Section;Course ID;Exam Date;Start Time;End Time;Facil ID;Exam Type;Tot Enrl;Acad Org;Term
INTL; 451;ST INTL;01;002396;19.01.2023;11:45:00;14:45:00;CASEZ27;FIN;27;CASE;2221
INTL; 460;HISTORY OF IDEOLOGIES;01;001151;18.01.2023;15:00:00;18:00:00;CASEZ48;FIN;6;CASE;2221
INTL; 460;HISTORY OF IDEOLOGIES;01;001151;18.01.2023;15:00:00;18:00:00;CASEZ48;FIN;6;CASE;2221
INTL; 460;HISTORY OF IDEOLOGIES;01;001151;18.01.2023;15:00:00;18:00:00;CASEZ48;FIN;6;CASE;2221
INTL; 475;POLITICS ETHNICITY NATION;01;001851;27.11.2022;15:00:00;18:00:00;SNA159;MID;29;CASE;2221
INTL; 475;POLITICS ETHNICITY NATION;01;001851;18.01.2023;18:15:00;21:15:00;SNA158;FIN;29;CASE;2221
INTL; 475;POLITICS ETHNICITY NATION;01;001851;18.01.2023;18:15:00;21:15:00;SNA158;FIN;29;CASE;2221
INTL; 501;RESEARCH METHODS;01;001974;17.01.2023;11:45:00;14:45:00;SCIZ32;FIN;5;GSSSH;2221
INTL; 501;RESEARCH METHODS;01;001974;17.01.2023;11:45:00;14:45:00;SCIZ32;FIN;5;GSSSH;2221
INTL; 504;COMPARATIVE POLITICS;01;000790;24.01.2023;11:45:00;14:45:00;SNAA11;FIN;4;GSSSH;2221
INTL; 550;ST INTL;01;002102;19.01.2023;15:00:00;18:00:00;CASEB34;FIN;6;GSSSH;2221
INTL; 575;POLITICS ETHNICITY NATION;01;001852;27.11.2022;15:00:00;18:00:00;SNA159;MID;4;GSSSH;2221
INTL; 575;POLITICS ETHNICITY NATION;01;001852;18.01.2023;18:15:00;21:15:00;SNA158;FIN;4;GSSSH;2221
INTL; 575;POLITICS ETHNICITY NATION;01;001852;18.01.2023;18:15:00;21:15:00;SNA158;FIN;4;GSSSH;2221
INTL; 582;SURVEY RESEARCH METHODS;01;004385;17.01.2023;11:45:00;14:45:00;ENGB21;FIN;9;GSSSH;2221
