Component;Subject;Catalog;Section;Course ID;Descr;Tot Enrl;Career;Acad Org;Mon;Tues;Wed;Thurs;Fri;Sat;Sun;Facil ID;Type;Capacity;Mtg Start;Mtg End;Start Date;End Date;Term;Class Nbr;Mode
LEC;ELC;4027;17;004247;UPPER-INTERMEDIATE II;25;EEDU;ELC;Y;N;N;N;N;N;N;ELCB09;ELC;25;13:30:00;15:20:00;27.02.2023;2.06.2023;2222;3603;P
LEC;ELC;4027;17;004247;UPPER-INTERMEDIATE II;25;EEDU;ELC;Y;N;N;N;N;N;N;ELCB09;ELC;25;13:30:00;15:20:00;27.02.2023;2.06.2023;2222;3603;P
LEC;ELC;4027;17;004247;UPPER-INTERMEDIATE II;25;EEDU;ELC;Y;N;N;N;N;N;N;ELCB09;ELC;25;13:30:00;15:20:00;27.02.2023;2.06.2023;2222;3603;P
LEC;ELC;4027;18;004247;UPPER-INTERMEDIATE II;24;EEDU;ELC;N;N;N;N;Y;N;N;SCI125;ELC;22;08:30:00;12:20:00;27.02.2023;2.06.2023;2222;3604;P
LEC;ELC;4027;18;004247;UPPER-INTERMEDIATE II;24;EEDU;ELC;N;N;N;N;Y;N;N;SCI125;ELC;22;08:30:00;12:20:00;27.02.2023;2.06.2023;2222;3604;P
LEC;ELC;4027;18;004247;UPPER-INTERMEDIATE II;24;EEDU;ELC;N;N;N;N;Y;N;N;SCI125;ELC;22;08:30:00;12:20:00;27.02.2023;2.06.2023;2222;3604;P
LEC;ELC;4027;18;004247;UPPER-INTERMEDIATE II;24;EEDU;ELC;N;N;N;Y;N;N;N;ELCB04;ELC;25;08:30:00;12:20:00;27.02.2023;2.06.2023;2222;3604;P
LEC;ELC;4027;18;004247;UPPER-INTERMEDIATE II;24;EEDU;ELC;N;N;N;Y;N;N;N;ELCB04;ELC;25;08:30:00;12:20:00;27.02.2023;2.06.2023;2222;3604;P
LEC;ELC;4027;18;004247;UPPER-INTERMEDIATE II;24;EEDU;ELC;N;N;N;Y;N;N;N;ELCB04;ELC;25;08:30:00;12:20:00;27.02.2023;2.06.2023;2222;3604;P
LEC;ELC;4027;18;004247;UPPER-INTERMEDIATE II;24;EEDU;ELC;N;N;Y;N;N;N;N;SCI125;ELC;22;09:30:00;11:20:00;27.02.2023;2.06.2023;2222;3604;P
